date,buy_and_hold_equal_weight,quarterly_equal_weight,inverse_volatility,sample_min_variance,ledoit_wolf_min_variance,spy
2013-01-02,0.007019899544764341,0.007019899544764341,0.004456451527482308,0.003786454056313948,0.0036110054081477383,0.024604701955834862
2013-01-03,-0.007234331591552956,-0.007234331591552956,-0.006728423259383942,-0.005619589746425846,-0.005625360654129552,-0.0022592282184892287
2013-01-04,0.0011339787951867297,0.0011339787951867297,0.0006161674102680426,0.0003732685377995093,0.00033938644206576996,0.004391368912828764
2013-01-07,-0.001284799801527181,-0.001284799801527181,0.00018642220118336716,0.001597727109198921,0.0016536567728158147,-0.0027329256632799837
2013-01-08,-0.00014776760210355455,-0.00014776760210355455,0.0004821784955211239,0.0005767023707599073,0.0006033926875121942,-0.0028773107155306565
2013-01-09,0.0015073878598059753,0.0015073878598059753,0.0011723311518241353,0.0009877263916606704,0.0009746927640481573,0.0025421226770556693
2013-01-10,0.004491669454316449,0.004491669454316449,0.0026940551746772456,0.0011904620475622352,0.0011229688385860914,0.007950110755623685
2013-01-11,-0.0005752565966425927,-0.0005752565966425927,0.0002293884401212143,0.0011323357397874378,0.0011088237038725524,-6.86497450814727e-05
2013-01-14,0.0014099555520419305,0.0014099555520419305,0.0005681627567728498,-0.0006935867483299774,-0.0006376276197816999,-0.0006790977615315219
2013-01-15,0.0006669646124757289,0.0006669646124757289,0.0005634478442420043,5.985979035538769e-05,6.925655989031831e-05,0.0006795592486961155
2013-01-16,-0.00041133456757092013,-0.00041133456757092013,-0.00024607620649885753,-7.49646869058207e-05,-7.866144882373582e-05,-0.00013580648770916692
2013-01-17,0.0020995544297250923,0.0020995544297250923,0.0006767812887129576,-0.0003592112110808454,-0.0003896186991074746,0.006460667477304449
2013-01-18,0.002534147619064786,0.002534147619064786,0.0022069253514225284,0.0016728481422429997,0.001703923847937272,0.0022292244036132836
2013-01-22,0.00198454109734425,0.00198454109734425,0.0014297203984572349,0.0009465267890433893,0.0009345344016036261,0.005393757650731468
2013-01-23,-0.0007584852888108395,-0.0007584852888108395,-0.00014583018663860692,0.0008274802952585869,0.0008114442233355668,0.0016094205635026615
2013-01-24,-0.0014792492512072375,-0.0014792492512072375,-0.00129688280115281,-0.0007998382743023003,-0.0007893014629261064,0.0002675591995631166
2013-01-25,-0.0010616159410388182,-0.0010616159410388182,-0.0021917925458811993,-0.002740647346620495,-0.002767701112074805,0.005622255639600615
2013-01-28,-0.002076562186992703,-0.002076562186992703,-0.0015729230003846961,-0.0011121077015352476,-0.0010784132364389798,-0.0011977319820846155
2013-01-29,0.002857079903290982,0.002857079903290982,0.0009922734300831237,-0.0009090124701667257,-0.0009080005753447917,0.003931161903271807
2013-01-30,-0.000390448614016492,-0.000390448614016492,-0.0008489299638335668,-0.001726464802691563,-0.0017077888256314955,-0.003915768383779494
2013-01-31,-0.0009590162380515022,-0.0009590162380515022,-5.418734127482505e-05,0.0011029587188449153,0.001083054065385003,-0.0024656825147605366
2013-02-01,0.0018926316569298773,0.0018926316569298773,-7.852771387606428e-05,-0.0013005911203739506,-0.0013568177437407458,0.010287562608652934
2013-02-04,-0.0027129035023736314,-0.0027129035023736314,0.00017384827058197772,0.002059879384377128,0.0021576867631041274,-0.011240826254088065
2013-02-05,0.00047173272661282795,0.00047173272661282795,-0.0005136593462119476,-0.00028456073062466114,-0.00040248497934702865,0.010097294331655293
2013-02-06,0.0017505325724687104,0.0017505325724687104,0.0018904479386003814,0.0017219456817549883,0.001732670924754487,0.0007282405847395257
2013-02-07,-0.0036381525638823353,-0.0036381525638823353,-0.0023321836310816746,-0.0005747897565754334,-0.0006072923050223222,-0.0013228444702508835
2013-02-08,0.0040823949094428436,0.0040823949094428436,0.0029998261931774017,0.0018502684545436132,0.001870839618149045,0.005564528046079431
2013-02-11,-0.0019014272732476023,-0.0019014272732476023,-0.0014369450205197198,-0.0005955982762215761,-0.0005964767647345104,-0.00019790011961340337
2013-02-12,0.0018653780592357005,0.0018653780592357005,0.00102933728396426,-0.00012195999060837792,-7.507947829454853e-05,0.0016474473965413239
2013-02-13,-0.0011060239379673265,-0.0011060239379673265,-0.0017402909340745731,-0.002008315727067389,-0.002019654673222737,0.00085523078244365
2013-02-14,-0.00023236723674824322,-0.00023236723674824322,0.000695465635815351,0.002037333490577664,0.0019857289471556516,0.0009197256204516169
2013-02-15,-0.0036610370281423554,-0.0036610370281423554,-0.002884853895144923,-0.0015704665709763699,-0.001570067990180224,-0.0011815619807796773
2013-02-19,0.002027245310816772,0.002027245310816772,0.001197062607192434,0.0008974409721129728,0.0008556887309292271,0.0074944572052795255
2013-02-20,-0.00770484992039322,-0.00770484992039322,-0.004723092211324498,-0.0016077368121327762,-0.001556728679497632,-0.012463210331555175
2013-02-21,-0.004346446511154012,-0.004346446511154012,-0.0021260231766098148,-7.322314366009497e-05,-0.00010801361061474335,-0.006078835179392006
2013-02-22,0.005050575075555619,0.005050575075555619,0.0037992365438286324,0.002853908544612871,0.0028170558444897686,0.009772400761359323
2013-02-25,-0.0049265961594325836,-0.0049265961594325836,-0.001256258256893461,0.0011469304763196408,0.0012004805293452936,-0.019026939899243867
2013-02-26,0.003150627585172261,0.003150627585172261,0.001383755900343564,-0.00037266675336822264,-0.0004052674978988202,0.006845505635726612
2013-02-27,0.00275257423124442,0.00275257423124442,0.0016620467409784734,0.0019066537043832543,0.0017918405730097398,0.012598286228349798
2013-02-28,-0.002035269090978842,-0.002035269090978842,-0.0008406918242548356,0.000621947649343868,0.0006198386025204616,-0.001974659547672286
2013-03-01,0.0009626897857635264,0.0009626897857635264,0.0018301603314576642,0.003118795434385424,0.003077838782188147,0.0032979911060824207
2013-03-04,-0.0005345530279706745,-0.0005345530279706745,-0.000794723528234953,-0.0007276976777845778,-0.0007458286083997789,0.005325087184068211
2013-03-05,0.004956362947125426,0.004956362947125426,0.0028129348572705215,0.0009424337315129261,0.0009347825643790664,0.00895851548369997
2013-03-06,-0.0009384090132854572,-0.0009384090132854572,-0.0016599590160062405,-0.0020311883444971146,-0.0020910747709220745,0.0013619485534255293
2013-03-07,-0.000952308339507435,-0.000952308339507435,-0.0019416929948544714,-0.0024556101356960625,-0.002487508180062492,0.0018118448439496948
2013-03-08,0.0003962949406157712,0.0003962949406157712,-0.0010227655511881872,-0.0020087154130725704,-0.002033420389253915,0.004264143783204055
2013-03-11,0.000700895023363568,0.000700895023363568,0.0006108191144809094,0.0007728425755364476,0.000736541385048417,0.0037951051154003768
2013-03-12,-0.00029889643059211046,-0.00029889643059211046,0.000662092389978941,0.0012445366317990203,0.0012501737309984495,-0.002242138246863923
2013-03-13,-0.0020107365596612192,-0.0020107365596612192,-0.0012479903356534816,-0.00011224990489944187,-0.000141661685588379,0.0014126080591785328
2013-03-14,0.003692849966624223,0.003692849966624223,0.0027491491057094475,0.0019032947277271006,0.0019190304325447105,0.005324424598505351
