strategy,start,end,observations,cagr,annual_volatility,sharpe,max_drawdown,historical_var_95,historical_cvar_95,final_wealth,total_turnover,annualized_turnover,total_cost_fraction,rebalance_count
buy_and_hold_equal_weight,2013-01-02,2025-12-31,3270,0.06124807901787821,0.10144842397342196,0.6369106466610893,-0.22954638961507412,0.009477454198785202,0.015047747655138296,2.1627445892722554,1.0,0.07706422018348624,0.001,1
quarterly_equal_weight,2013-01-02,2025-12-31,3270,0.05442705901558331,0.09145369196156106,0.6254048855501043,-0.2053023141224103,0.008541694745549186,0.013479755918274189,1.9891477281260006,3.106236077787449,0.23937966104050065,0.0031062360777874493,52
inverse_volatility,2013-01-02,2025-12-31,3270,0.04474221149858315,0.07574598692994827,0.6158409328967474,-0.20562265533177726,0.007051180784142412,0.011248601210740571,1.7646811626189407,4.244164667851218,0.32707324045825903,0.004244164667851219,52
sample_min_variance,2013-01-02,2025-12-31,3270,0.03503316220124564,0.0623243564223848,0.5837086546562836,-0.19231563066763513,0.005702088143457255,0.009132490577891112,1.5633254111218842,8.465640626240848,0.652397993214891,0.008465640626240847,52
ledoit_wolf_min_variance,2013-01-02,2025-12-31,3270,0.034645289229431775,0.06237123327466557,0.5773058107133724,-0.19408742057383266,0.005770729878857326,0.00914393520414828,1.5557403770560412,8.152802409688594,0.628289360012699,0.008152802409688593,52
spy,2013-01-02,2025-12-31,3270,0.14794686216298714,0.16935613634181956,0.8998095383771667,-0.33717257794660527,0.015999060408584242,0.025761626354362712,5.991788834627417,1.0,0.07706422018348624,0.001,1
