strategy,forecast_observations,breaches,breach_rate,expected_breach_rate,kupiec_lr,kupiec_p_value,mean_loss_on_breach
buy_and_hold_equal_weight,3018,169,0.0559973492379059,0.050000000000000044,2.2036025120262366,0.13768862213930866,0.013779785817747619
quarterly_equal_weight,3018,173,0.05732273028495693,0.050000000000000044,3.260072357363015,0.07098599402433435,0.012228955962288367
inverse_volatility,3018,171,0.05666003976143141,0.050000000000000044,2.7070401006674274,0.09990620531240754,0.01005845531250748
sample_min_variance,3018,161,0.053346587143803845,0.050000000000000044,0.6970351039176421,0.4037817392375651,0.008140989705563683
ledoit_wolf_min_variance,3018,166,0.05500331345261763,0.050000000000000044,1.5426466293195062,0.21422428922928477,0.008156478656176244
spy,3018,161,0.053346587143803845,0.050000000000000044,0.6970351039176421,0.4037817392375651,0.0241580688788791
