date,strategy,training_start,training_end,training_observations,condition_number,minimum_eigenvalue,shrinkage,effective_n_assets,largest_weight
2015-10-01,ledoit_wolf_min_variance,2014-10-01,2015-09-30,252,74.0886561796603,5.405020093661671e-06,0.03662842576318865,2.970658992632658,0.4
2015-10-01,inverse_volatility,2014-10-01,2015-09-30,252,,,,6.896115816053835,0.22886976326110467
2015-10-01,quarterly_equal_weight,2014-10-01,2015-09-30,252,,,,9.0,0.1111111111111111
2015-10-01,sample_min_variance,2014-10-01,2015-09-30,252,194.44243928730307,2.1282788121032053e-06,,2.908515923700516,0.4
2016-01-04,quarterly_equal_weight,2015-01-02,2015-12-31,252,,,,9.0,0.1111111111111111
2016-01-04,inverse_volatility,2015-01-02,2015-12-31,252,,,,6.8947617258986424,0.23355119366932317
2016-01-04,ledoit_wolf_min_variance,2015-01-02,2015-12-31,252,90.68504820948579,4.679556901434885e-06,0.03211590492103812,3.011791974837414,0.3999999999999999
2016-01-04,sample_min_variance,2015-01-02,2015-12-31,252,243.49681125963875,1.7952387432757683e-06,,2.9377089483878076,0.4
2016-04-01,inverse_volatility,2015-04-01,2016-03-31,252,,,,6.44654091563851,0.25130479691696483
2016-04-01,ledoit_wolf_min_variance,2015-04-01,2016-03-31,252,113.78733421591136,4.574042224157994e-06,0.024709429443128678,3.0134987574195518,0.4
2016-04-01,quarterly_equal_weight,2015-04-01,2016-03-31,252,,,,9.0,0.1111111111111111
2016-04-01,sample_min_variance,2015-04-01,2016-03-31,252,248.32483952714475,2.1472645755385703e-06,,3.0124032498733824,0.40000000000000013
2016-07-01,inverse_volatility,2015-07-02,2016-06-30,252,,,,5.957411408922578,0.26636164061672746
2016-07-01,quarterly_equal_weight,2015-07-02,2016-06-30,252,,,,9.0,0.1111111111111111
2016-07-01,sample_min_variance,2015-07-02,2016-06-30,252,301.29947819992236,2.0719893949189178e-06,,3.0199273803138773,0.4
2016-07-01,ledoit_wolf_min_variance,2015-07-02,2016-06-30,252,114.52530280283136,5.296302390985181e-06,0.029824829703516298,3.0219802964738953,0.4
2016-10-03,sample_min_variance,2015-10-02,2016-09-30,252,281.1873624896454,1.7437384188505078e-06,,2.9284132070801183,0.3999999999999999
2016-10-03,quarterly_equal_weight,2015-10-02,2016-09-30,252,,,,9.0,0.1111111111111111
2016-10-03,ledoit_wolf_min_variance,2015-10-02,2016-09-30,252,88.44780472232303,5.346922820476794e-06,0.0391628931676523,2.9350757516441397,0.4
2016-10-03,inverse_volatility,2015-10-02,2016-09-30,252,,,,6.1371058576300985,0.26265762240340845
2017-01-03,sample_min_variance,2016-01-04,2016-12-30,252,261.04424201382676,1.7145091705163327e-06,,2.9094991510136357,0.4
2017-01-03,quarterly_equal_weight,2016-01-04,2016-12-30,252,,,,9.0,0.1111111111111111
2017-01-03,ledoit_wolf_min_variance,2016-01-04,2016-12-30,252,71.87326318347347,5.966449643051404e-06,0.04777808200031146,2.9194625987369576,0.4
2017-01-03,inverse_volatility,2016-01-04,2016-12-30,252,,,,6.262901097293765,0.2590344630983384
2017-04-03,quarterly_equal_weight,2016-04-04,2017-03-31,252,,,,9.0,0.1111111111111111
2017-04-03,ledoit_wolf_min_variance,2016-04-04,2017-03-31,252,38.51777995541917,6.921465064174963e-06,0.08918125232056884,3.0664961519762004,0.3999999999999999
2017-04-03,sample_min_variance,2016-04-04,2017-03-31,252,290.838718261865,9.875830344100848e-07,,2.8463370438461384,0.3999999999999999
2017-04-03,inverse_volatility,2016-04-04,2017-03-31,252,,,,6.669108722353924,0.24685825553526575
2017-07-03,inverse_volatility,2016-07-01,2017-06-30,252,,,,7.092924225655066,0.23202021485024055
2017-07-03,sample_min_variance,2016-07-01,2017-06-30,252,214.66591362951604,8.633281681703817e-07,,2.9809837127234635,0.3999999999999999
2017-07-03,quarterly_equal_weight,2016-07-01,2017-06-30,252,,,,9.0,0.1111111111111111
2017-07-03,ledoit_wolf_min_variance,2016-07-01,2017-06-30,252,49.36142563037033,3.5864455818910894e-06,0.05598476240410744,3.069133715977443,0.4
2017-10-02,inverse_volatility,2016-09-30,2017-09-29,252,,,,7.171442602963851,0.22832054690263093
2017-10-02,sample_min_variance,2016-09-30,2017-09-29,252,143.0850759618564,9.647031841816195e-07,,3.0953375287479483,0.39999999999999997
2017-10-02,ledoit_wolf_min_variance,2016-09-30,2017-09-29,252,36.801247326903145,3.5710711319793433e-06,0.06355709760486032,3.1376331658302425,0.39999999999999997
2017-10-02,quarterly_equal_weight,2016-09-30,2017-09-29,252,,,,9.0,0.1111111111111111
2018-01-02,quarterly_equal_weight,2016-12-30,2017-12-29,252,,,,9.0,0.1111111111111111
2018-01-02,sample_min_variance,2016-12-30,2017-12-29,252,121.07159927785467,8.345816906022453e-07,,3.018173695619358,0.3999999999999999
2018-01-02,ledoit_wolf_min_variance,2016-12-30,2017-12-29,252,40.23278413664634,2.4153276134629404e-06,0.05061394878784517,3.1044131560363177,0.38497736270723143
2018-01-02,inverse_volatility,2016-12-30,2017-12-29,252,,,,7.258210496259484,0.22205979982265978
2018-04-02,sample_min_variance,2017-03-30,2018-03-29,252,190.12949325695044,1.050068597616036e-06,,2.963974258708438,0.4000000000000001
2018-04-02,quarterly_equal_weight,2017-03-30,2018-03-29,252,,,,9.0,0.1111111111111111
2018-04-02,ledoit_wolf_min_variance,2017-03-30,2018-03-29,252,53.277852934451175,3.56657665059482e-06,0.057417887104013306,2.9707928013311102,0.4
2018-04-02,inverse_volatility,2017-03-30,2018-03-29,252,,,,6.482703436745669,0.26239894379372153
2018-07-02,quarterly_equal_weight,2017-06-30,2018-06-29,252,,,,9.0,0.1111111111111111
2018-07-02,sample_min_variance,2017-06-30,2018-06-29,252,307.7573157532374,7.424996339752785e-07,,3.0236758605280762,0.4000000000000001
2018-07-02,ledoit_wolf_min_variance,2017-06-30,2018-06-29,252,75.82736071959968,2.893115543336731e-06,0.04575069496955857,3.024743394068449,0.3999999999999999
2018-07-02,inverse_volatility,2017-06-30,2018-06-29,252,,,,6.315224331387536,0.27336257301946654
2018-10-01,ledoit_wolf_min_variance,2017-09-29,2018-09-28,252,96.55453830355832,2.5134267796989803e-06,0.03925013708768793,3.0243305520592627,0.4
2018-10-01,quarterly_equal_weight,2017-09-29,2018-09-28,252,,,,9.0,0.1111111111111111
2018-10-01,sample_min_variance,2017-09-29,2018-09-28,252,449.4452626979074,5.596604328542534e-07,,3.0229742809222886,0.3999999999999999
2018-10-01,inverse_volatility,2017-09-29,2018-09-28,252,,,,6.0299689127137235,0.2897090994226081
2019-01-02,quarterly_equal_weight,2017-12-29,2018-12-31,252,,,,9.0,0.1111111111111111
2019-01-02,ledoit_wolf_min_variance,2017-12-29,2018-12-31,252,128.01925509012773,2.862043049585892e-06,0.028543994607175716,2.999538688517816,0.4
2019-01-02,inverse_volatility,2017-12-29,2018-12-31,252,,,,5.719004051925008,0.29652424968904545
2019-01-02,sample_min_variance,2017-12-29,2018-12-31,252,432.50553386152995,8.706889556398688e-07,,2.997181422216661,0.4
2019-04-01,quarterly_equal_weight,2018-03-29,2019-03-29,252,,,,9.0,0.1111111111111111
2019-04-01,ledoit_wolf_min_variance,2018-03-29,2019-03-29,252,102.55993467584938,2.9526736023062755e-06,0.031195741385083676,3.0169405799771525,0.4
2019-04-01,sample_min_variance,2018-03-29,2019-03-29,252,293.0071005518017,1.0642293262002797e-06,,3.0144930858899768,0.4
2019-04-01,inverse_volatility,2018-03-29,2019-03-29,252,,,,5.936794856215873,0.2799173002302126
2019-07-01,ledoit_wolf_min_variance,2018-06-28,2019-06-28,252,93.3348235846713,3.199515000390237e-06,0.03300160231567709,3.0398423627940496,0.4000000000000001
2019-07-01,sample_min_variance,2018-06-28,2019-06-28,252,260.1047401585604,1.1837919463523117e-06,,3.0382992401778663,0.4
2019-07-01,quarterly_equal_weight,2018-06-28,2019-06-28,252,,,,9.0,0.1111111111111111
2019-07-01,inverse_volatility,2018-06-28,2019-06-28,252,,,,6.035154890200003,0.26838253817220376
2019-10-01,inverse_volatility,2018-09-28,2019-09-30,252,,,,6.265263522766325,0.26727406405327353
2019-10-01,sample_min_variance,2018-09-28,2019-09-30,252,231.2742579406393,1.4457306299550907e-06,,3.0155960337168692,0.4
2019-10-01,quarterly_equal_weight,2018-09-28,2019-09-30,252,,,,9.0,0.1111111111111111
2019-10-01,ledoit_wolf_min_variance,2018-09-28,2019-09-30,252,86.21987055320447,3.7577281675853496e-06,0.034259875191097286,3.01691490035448,0.39999999999999997
2020-01-02,ledoit_wolf_min_variance,2019-01-02,2019-12-31,252,63.5453523210043,3.309924212736739e-06,0.044247427991767396,2.999215323762763,0.4
2020-01-02,sample_min_variance,2019-01-02,2019-12-31,252,195.9758724694901,1.1153561457296437e-06,,2.999155606981637,0.4
2020-01-02,quarterly_equal_weight,2019-01-02,2019-12-31,252,,,,9.0,0.1111111111111111
2020-01-02,inverse_volatility,2019-01-02,2019-12-31,252,,,,6.835101572204373,0.2497909838691258
2020-04-01,quarterly_equal_weight,2019-04-02,2020-03-31,252,,,,9.0,0.1111111111111111
2020-04-01,inverse_volatility,2019-04-02,2020-03-31,252,,,,7.351308220811137,0.2421713696968366
2020-04-01,sample_min_variance,2019-04-02,2020-03-31,252,191.51815320321316,7.3272072629916666e-06,,3.94370897694063,0.4
2020-04-01,ledoit_wolf_min_variance,2019-04-02,2020-03-31,252,36.27115728587103,3.4403646826261005e-05,0.1272775054602843,4.155065166814821,0.4
2020-07-01,quarterly_equal_weight,2019-07-02,2020-06-30,252,,,,9.0,0.1111111111111111
2020-07-01,sample_min_variance,2019-07-02,2020-06-30,252,189.64164160733026,9.582386585028294e-06,,3.9827263829829627,0.4000000000000001
2020-07-01,ledoit_wolf_min_variance,2019-07-02,2020-06-30,252,54.37450218732586,3.1018954807635164e-05,0.08044743113293902,4.138547648727948,0.3999999999999999
