lookback,cost_bps,strategy,start,end,observations,cagr,annual_volatility,sharpe,max_drawdown,historical_var_95,historical_cvar_95,final_wealth,total_turnover,annualized_turnover,total_cost_fraction,rebalance_count
126,0.0,buy_and_hold_equal_weight,2013-01-02,2025-12-31,3270,0.06132990734747468,0.10145399041194582,0.6376413972396814,-0.22954638961507368,0.009477454198785202,0.015047747655138296,2.164909498771044,1.0,0.07706422018348624,0.0,1
126,0.0,quarterly_equal_weight,2013-01-02,2025-12-31,3270,0.0546795428901059,0.09145855354486868,0.6279947545381142,-0.20530231412241018,0.008541694745549186,0.013478546760615714,1.9953372081965353,3.106236077787449,0.23937966104050065,0.0,52
126,0.0,inverse_volatility,2013-01-02,2025-12-31,3270,0.04428138770853329,0.07585926624644192,0.6092345633780072,-0.20569994639531164,0.006985963317682829,0.011292487723731452,1.754607382805503,5.906093186679742,0.45514846576247553,0.0,52
126,0.0,sample_min_variance,2013-01-02,2025-12-31,3270,0.033411083368543704,0.062481376316273894,0.5573028067355464,-0.19699032678404949,0.005685140192921933,0.009149613116196637,1.5318303139135556,12.734765266231328,0.9813947544618637,0.0,52
126,0.0,ledoit_wolf_min_variance,2013-01-02,2025-12-31,3270,0.03254859941048882,0.06261198193382955,0.5429390138336078,-0.19904335101568382,0.005689424789813539,0.009164476683146088,1.5153233754531443,12.962944045506035,0.9989791741490889,0.0,52
126,0.0,spy,2013-01-02,2025-12-31,3270,0.14803537546732448,0.16936757963544927,0.900215416628151,-0.3371725779466054,0.015999060408584242,0.025761626354362712,5.997786621248677,1.0,0.07706422018348624,0.0,1
126,10.0,buy_and_hold_equal_weight,2013-01-02,2025-12-31,3270,0.06124807901787821,0.10144842397342196,0.6369106466610893,-0.22954638961507412,0.009477454198785202,0.015047747655138296,2.1627445892722554,1.0,0.07706422018348624,0.001,1
126,10.0,quarterly_equal_weight,2013-01-02,2025-12-31,3270,0.05442705901558331,0.09145369196156106,0.6254048855501043,-0.2053023141224103,0.008541694745549186,0.013479755918274189,1.9891477281260006,3.106236077787449,0.23937966104050065,0.0031062360777874493,52
126,10.0,inverse_volatility,2013-01-02,2025-12-31,3270,0.0438061280447124,0.0758537047596525,0.6032715896928229,-0.20596405539786056,0.006985963317682829,0.011294531010100129,1.7442736461014448,5.906093186679742,0.45514846576247553,0.005906093186679742,52
126,10.0,sample_min_variance,2013-01-02,2025-12-31,3270,0.03239718665780589,0.062468384887120046,0.5416903318953643,-0.19794245506580788,0.005685140192921933,0.009151192064198956,1.51244250868555,12.734765266231328,0.9813947544618637,0.012734765266231327,52
126,10.0,ledoit_wolf_min_variance,2013-01-02,2025-12-31,3270,0.03151741820352272,0.06259874371005741,0.5270771651996178,-0.1999572420856267,0.005689424789813539,0.009165912461609657,1.4958032953486418,12.962944045506035,0.9989791741490889,0.012962944045506034,52
126,10.0,spy,2013-01-02,2025-12-31,3270,0.14794686216298714,0.16935613634181956,0.8998095383771667,-0.33717257794660527,0.015999060408584242,0.025761626354362712,5.991788834627417,1.0,0.07706422018348624,0.001,1
126,25.0,buy_and_hold_equal_weight,2013-01-02,2025-12-31,3270,0.06112519466636335,0.10144152113613239,0.6358053020505886,-0.22954638961507334,0.009477454198785202,0.015047747655138296,2.159497225024108,1.0,0.07706422018348624,0.0025,1
126,25.0,quarterly_equal_weight,2013-01-02,2025-12-31,3270,0.054048276614627744,0.09144817795723495,0.6215074792057006,-0.2053023141224103,0.008541694745549186,0.013481569654761903,1.9798953470954728,3.106236077787449,0.23937966104050065,0.007765590194468621,52
126,25.0,inverse_volatility,2013-01-02,2025-12-31,3270,0.04309340117413396,0.07584842742537524,0.5943014738930859,-0.2063600991231257,0.006985963317682829,0.011297595939653148,1.7288818181395396,5.906093186679742,0.45514846576247553,0.014765232966699356,52
126,25.0,sample_min_variance,2013-01-02,2025-12-31,3270,0.030877419320857635,0.06246101738341798,0.5181588793673976,-0.19936919601904035,0.00569389855049158,0.009155037305538778,1.483805222665347,12.734765266231328,0.9813947544618637,0.03183691316557832,52
126,25.0,ledoit_wolf_min_variance,2013-01-02,2025-12-31,3270,0.0299718209591886,0.06259050381649509,0.5031783967379486,-0.20132674066377076,0.005704099858891843,0.009169277695458104,1.4669796641592703,12.962944045506035,0.9989791741490889,0.032407360113765084,52
126,25.0,spy,2013-01-02,2025-12-31,3270,0.14781393876032567,0.16933986754083238,0.8991958596148388,-0.3371725779466056,0.015999060408584242,0.025761626354362712,5.982792154695544,1.0,0.07706422018348624,0.0025,1
252,0.0,buy_and_hold_equal_weight,2013-01-02,2025-12-31,3270,0.06132990734747468,0.10145399041194582,0.6376413972396814,-0.22954638961507368,0.009477454198785202,0.015047747655138296,2.164909498771044,1.0,0.07706422018348624,0.0,1
252,0.0,quarterly_equal_weight,2013-01-02,2025-12-31,3270,0.0546795428901059,0.09145855354486868,0.6279947545381142,-0.20530231412241018,0.008541694745549186,0.013478546760615714,1.9953372081965353,3.106236077787449,0.23937966104050065,0.0,52
252,0.0,inverse_volatility,2013-01-02,2025-12-31,3270,0.045084026728013926,0.07575246013842735,0.6201137379832196,-0.20539634544253138,0.007051180784142412,0.011247017098617505,1.7721878229945653,4.244164667851218,0.32707324045825903,0.0,52
252,0.0,sample_min_variance,2013-01-02,2025-12-31,3270,0.035708771941495465,0.06233651210206549,0.5940760977221041,-0.19180805900262077,0.005702088143457255,0.009130771154272053,1.5766188239324574,8.465640626240848,0.652397993214891,0.0,52
252,0.0,ledoit_wolf_min_variance,2013-01-02,2025-12-31,3270,0.03529567197929584,0.06238220400915465,0.587289961224689,-0.19356682625191202,0.005770729878857326,0.009142167150368611,1.56847826118235,8.152802409688594,0.628289360012699,0.0,52
252,0.0,spy,2013-01-02,2025-12-31,3270,0.14803537546732448,0.16936757963544927,0.900215416628151,-0.3371725779466054,0.015999060408584242,0.025761626354362712,5.997786621248677,1.0,0.07706422018348624,0.0,1
252,10.0,buy_and_hold_equal_weight,2013-01-02,2025-12-31,3270,0.06124807901787821,0.10144842397342196,0.6369106466610893,-0.22954638961507412,0.009477454198785202,0.015047747655138296,2.1627445892722554,1.0,0.07706422018348624,0.001,1
252,10.0,quarterly_equal_weight,2013-01-02,2025-12-31,3270,0.05442705901558331,0.09145369196156106,0.6254048855501043,-0.2053023141224103,0.008541694745549186,0.013479755918274189,1.9891477281260006,3.106236077787449,0.23937966104050065,0.0031062360777874493,52
