regime,strategy,start,end,observations,cagr,annual_volatility,sharpe,max_drawdown,historical_var_95,historical_cvar_95,final_wealth
pre_covid,buy_and_hold_equal_weight,2013-01-02,2019-12-31,1762,0.04673080173718702,0.07361157826382066,0.6573293373088224,-0.12681980147143845,0.007362646812125185,0.010820348222208771,1.3762191873471852
pre_covid,quarterly_equal_weight,2013-01-02,2019-12-31,1762,0.04019550280714057,0.07015462087498255,0.5968750513705207,-0.14348471223189185,0.006830806600045484,0.010095844262502065,1.3172523121505382
pre_covid,inverse_volatility,2013-01-02,2019-12-31,1762,0.03501953743787878,0.05503775862597429,0.6529587076120331,-0.11009078513654857,0.005402733304159453,0.00792633430084573,1.272099831885541
pre_covid,sample_min_variance,2013-01-02,2019-12-31,1762,0.0369104590556002,0.042132720620560254,0.8813958601025561,-0.07753474525414361,0.004244515298695481,0.006075821499972948,1.2884389796768652
pre_covid,ledoit_wolf_min_variance,2013-01-02,2019-12-31,1762,0.03583589977124979,0.04222631451058185,0.8549777406856189,-0.0775031144145355,0.0042311776720301,0.006096987969634259,1.2791319698316823
pre_covid,spy,2013-01-02,2019-12-31,1762,0.14590004465203332,0.12812450297776132,1.1274044748485594,-0.19348905289113583,0.013508890178754484,0.02019957248924362,2.5915389223766487
pandemic_and_recovery,buy_and_hold_equal_weight,2020-01-02,2021-12-31,505,0.12413864714930467,0.144241633249786,0.8842507101113324,-0.22457740676126214,0.01155215093201249,0.023200107747210673,1.2642746321493776
pandemic_and_recovery,quarterly_equal_weight,2020-01-02,2021-12-31,505,0.12065431048122544,0.12814469145266244,0.9537161626418896,-0.20530231412241018,0.011265543431327954,0.021047328878841528,1.2564339068576553
pandemic_and_recovery,inverse_volatility,2020-01-02,2021-12-31,505,0.10314403161629437,0.10296507310581662,1.00533498364158,-0.17858310075581152,0.008682494849187174,0.016600100774205175,1.217400889607452
pandemic_and_recovery,sample_min_variance,2020-01-02,2021-12-31,505,0.07402898757908916,0.09105356903863128,0.8300452175372187,-0.1649161043245616,0.006920256301356197,0.014437055900497094,1.153865226084457
pandemic_and_recovery,ledoit_wolf_min_variance,2020-01-02,2021-12-31,505,0.07352154476422057,0.09054077926430197,0.829010069295345,-0.16492379833150106,0.006859016817740724,0.014309024595693396,1.152772996305657
pandemic_and_recovery,spy,2020-01-02,2021-12-31,505,0.23369363826493994,0.253327102984581,0.9568724376556792,-0.3371725779466057,0.02209210636090348,0.04038367903229172,1.5232689313713934
inflation_and_rate_shock,buy_and_hold_equal_weight,2022-01-03,2025-12-31,1003,0.056177210860915094,0.11652702544207508,0.5272040193797822,-0.2291278864320433,0.011661074397854706,0.01635808551086802,1.2430145200838056
inflation_and_rate_shock,quarterly_equal_weight,2022-01-03,2025-12-31,1003,0.04728318247327956,0.10181812401223614,0.5045894744346736,-0.1978430078375144,0.009948274851544456,0.014128381921216543,1.201872561751324
inflation_and_rate_shock,inverse_volatility,2022-01-03,2025-12-31,1003,0.03335260161837339,0.08974581887236867,0.4103849013702967,-0.2020773613394643,0.00909980212903123,0.012390301156250111,1.1394924179162278
inflation_and_rate_shock,sample_min_variance,2022-01-03,2025-12-31,1003,0.01270934632261067,0.07333244992502562,0.20883167823024648,-0.1860921047969133,0.007498608635702984,0.01001389962433974,1.0515512565966911
inflation_and_rate_shock,ledoit_wolf_min_variance,2022-01-03,2025-12-31,1003,0.013557762811041263,0.07368791369521359,0.21954270289787484,-0.1876376897303066,0.007583299249825559,0.01007017427492103,1.055061984980688
inflation_and_rate_shock,spy,2022-01-03,2025-12-31,1003,0.11053281237592838,0.1800610982092288,0.6720835123273877,-0.2449640743980558,0.017087650170803246,0.026019129680640834,1.5178266683793133
